dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.000089,13.500000,0.000119,0.011887,0.594335,29.716759,0.000000
0.020000,4.000564,13.500000,0.000594,0.035660,1.188670,29.716759,0.000000
0.020000,4.001634,13.500000,0.001664,0.071320,1.783006,29.716759,0.000000
0.020000,4.003536,13.500000,0.003566,0.118867,2.377341,29.716759,0.000000
0.020000,4.006508,13.500000,0.006538,0.178301,2.971676,29.716759,0.000000
0.020000,4.010787,13.500000,0.010817,0.249621,3.566011,29.716759,0.000000
0.020000,4.016611,13.500000,0.016641,0.332828,4.160346,29.716759,0.000000
0.020000,4.024219,13.500000,0.024249,0.427921,4.754681,29.716759,0.000000
0.020000,4.033847,13.500000,0.033877,0.534902,5.349017,29.716759,0.000000
0.020000,4.045734,13.500000,0.045764,0.653769,5.943352,29.716759,0.000000
0.020000,4.059998,13.500000,0.060028,0.772636,5.943352,-0.000000,0.000000
0.020000,4.076639,13.500000,0.076669,0.891503,5.943352,0.000000,0.000000
0.020000,4.095658,13.500000,0.095688,1.010370,5.943352,-0.000000,0.000000
0.020000,4.117054,13.500000,0.117084,1.129237,5.943352,0.000000,0.000000
0.020000,4.140827,13.500000,0.140857,1.248104,5.943352,0.000000,0.000000
0.020000,4.166978,13.500000,0.167008,1.366971,5.943352,0.000000,0.000000
0.020000,4.195506,13.500000,0.195536,1.485838,5.943352,-0.000000,0.000000
0.020000,4.226412,13.500000,0.226442,1.604705,5.943352,0.000000,0.000000
0.020000,4.259694,13.500000,0.259724,1.723572,5.943352,0.000000,0.000000
0.020000,4.295355,13.500000,0.295385,1.842439,5.943352,-0.000000,0.000000
0.020000,4.333392,13.500000,0.333422,1.961306,5.943352,0.000000,0.000000
0.020000,4.373807,13.500000,0.373837,2.080173,5.943352,0.000000,0.000000
0.020000,4.416599,13.500000,0.416629,2.199040,5.943352,-0.000000,0.000000
0.020000,4.461768,13.500000,0.461798,2.317907,5.943352,-0.000000,0.000000
0.020000,4.509315,13.500000,0.509345,2.436774,5.943352,0.000000,0.000000
0.020000,4.559239,13.500000,0.559269,2.555641,5.943352,-0.000000,0.000000
0.020000,4.611541,13.500000,0.611571,2.674508,5.943352,0.000000,0.000000
0.020000,4.666220,13.500000,0.666250,2.793375,5.943352,-0.000000,0.000000
0.020000,4.723276,13.500000,0.723306,2.912242,5.943352,0.000000,0.000000
0.020000,4.782709,13.500000,0.782739,3.031109,5.943352,0.000000,0.000000
0.020000,4.844520,13.500000,0.844550,3.149976,5.943352,0.000000,0.000000
0.020000,4.908590,13.500000,0.908620,3.256957,5.349017,-29.716759,0.000000
0.020000,4.974680,13.500000,0.974710,3.352050,4.754681,-29.716759,0.000000
0.020000,5.042553,13.500000,1.042583,3.435257,4.160346,-29.716759,0.000000
0.020000,5.111971,13.500000,1.112001,3.506578,3.566011,-29.716759,0.000000
0.020000,5.182697,13.500000,1.182727,3.566011,2.971676,-29.716759,0.000000
0.020000,5.254493,13.500000,1.254523,3.613558,2.377341,-29.716759,0.000000
0.020000,5.327120,13.500000,1.327150,3.649218,1.783006,-29.716759,0.000000
0.020000,5.400343,13.500000,1.400373,3.672991,1.188670,-29.716759,0.000000
0.020000,5.473921,13.500000,1.473951,3.684878,0.594335,-29.716759,0.000000
0.020000,5.547584,13.500000,1.547614,3.681399,-0.173952,-38.414343,0.000000
0.020000,5.621058,13.500000,1.621088,3.666033,-0.768287,-29.716759,0.000000
0.020000,5.694106,13.500000,1.694136,3.638781,-1.362622,-29.716759,0.000000
0.020000,5.766491,13.500000,1.766521,3.599642,-1.956957,-29.716759,0.000000
0.020000,5.837973,13.500000,1.838003,3.548616,-2.551292,-29.716759,0.000000
0.020000,5.908316,13.500000,1.908346,3.485703,-3.145628,-29.716759,0.000000
0.020000,5.977283,13.500000,1.977313,3.410904,-3.739963,-29.716759,0.000000
0.020000,6.044634,13.500000,2.044664,3.324218,-4.334298,-29.716759,0.000000
0.020000,6.110132,13.500000,2.110162,3.225645,-4.928633,-29.716759,0.000000
0.020000,6.173541,13.500000,2.173571,3.115186,-5.522968,-29.716759,0.000000
0.020000,6.234656,13.500000,2.234686,2.996319,-5.943352,-21.019174,0.000000
0.020000,6.293393,13.500000,2.293423,2.877452,-5.943352,0.000000,0.000000
0.020000,6.349754,13.500000,2.349784,2.758585,-5.943352,-0.000000,0.000000
0.020000,6.403737,13.500000,2.403767,2.639718,-5.943352,0.000000,0.000000
0.020000,6.455343,13.500000,2.455373,2.520851,-5.943352,0.000000,0.000000
0.020000,6.504571,13.500000,2.504601,2.401984,-5.943352,0.000000,0.000000
0.020000,6.551422,13.500000,2.551452,2.283117,-5.943352,0.000000,0.000000
0.020000,6.595896,13.500000,2.595926,2.164250,-5.943352,0.000000,0.000000
0.020000,6.637992,13.500000,2.638022,2.045383,-5.943352,0.000000,0.000000
0.020000,6.677711,13.500000,2.677741,1.926516,-5.943352,-0.000000,0.000000
0.020000,6.715053,13.500000,2.715083,1.807649,-5.943352,-0.000000,0.000000
0.020000,6.750017,13.500000,2.750047,1.688782,-5.943352,0.000000,0.000000
0.020000,6.782604,13.500000,2.782634,1.569915,-5.943352,0.000000,0.000000
0.020000,6.812813,13.500000,2.812843,1.451048,-5.943352,-0.000000,0.000000
0.020000,6.840646,13.500000,2.840676,1.332181,-5.943352,0.000000,0.000000
0.020000,6.866101,13.500000,2.866131,1.213314,-5.943352,-0.000000,0.000000
0.020000,6.889178,13.500000,2.889208,1.094446,-5.943352,0.000000,0.000000
0.020000,6.909878,13.500000,2.909908,0.975579,-5.943352,-0.000000,0.000000
0.020000,6.928201,13.500000,2.928231,0.856712,-5.943352,0.000000,0.000000
0.020000,6.944147,13.500000,2.944177,0.737845,-5.943352,0.000000,0.000000
0.020000,6.957715,13.500000,2.957745,0.618978,-5.943352,-0.000000,0.000000
0.020000,6.968941,13.500000,2.968971,0.503590,-5.769400,8.697585,0.000000
0.020000,6.977978,13.500000,2.978008,0.400089,-5.175065,29.716759,0.000000
0.020000,6.985063,13.500000,2.985093,0.308474,-4.580730,29.716759,0.000000
0.020000,6.990436,13.500000,2.990466,0.228747,-3.986395,29.716759,0.000000
0.020000,6.994332,13.500000,2.994362,0.160905,-3.392059,29.716759,0.000000
0.020000,6.996991,13.500000,2.997021,0.104951,-2.797724,29.716759,0.000000
0.020000,6.998649,13.500000,2.998679,0.060883,-2.203389,29.716759,0.000000
0.020000,6.999545,13.500000,2.999575,0.028702,-1.609054,29.716759,0.000000
0.020000,6.999916,13.500000,2.999946,0.008408,-1.014719,29.716759,0.000000
0.020000,7.000000,13.500000,3.000030,0.000000,-0.420383,29.716759,0.000000
0.020000,7.000000,13.500000,3.000030,0.000000,0.000000,21.019174,0.000000
